country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,regionfire
COD,-1.40843,29.20688,386.78,1.58,1.24,2023-10-03,820,Terra,MODIS,0,6.1NRT,296.69,349.46,D,9
COD,-1.40432,29.19937,339.8,1.57,1.24,2023-10-03,820,Terra,MODIS,0,6.1NRT,289.84,74.71,D,9
COD,-10.72888,27.68102,339.73,1.67,1.27,2023-10-03,822,Terra,MODIS,89,6.1NRT,300.69,68.56,D,6
COD,-10.56609,27.48494,336.84,1.61,1.25,2023-10-03,822,Terra,MODIS,87,6.1NRT,304.4,54.13,D,6
COD,-9.67975,27.62773,335.7,1.6,1.25,2023-10-03,822,Terra,MODIS,85,6.1NRT,299.27,56.86,D,8
COD,-9.65745,27.13375,341.87,1.47,1.2,2023-10-03,822,Terra,MODIS,90,6.1NRT,307.98,53.25,D,3
COD,-9.64832,27.64539,343.05,1.6,1.25,2023-10-03,822,Terra,MODIS,91,6.1NRT,301.15,79.07,D,8
COD,-9.14942,23.5979,349.08,1.0,1.0,2023-10-03,822,Terra,MODIS,94,6.1NRT,306.51,50.59,D,2
COD,-8.97082,26.22905,344.67,1.26,1.11,2023-10-03,822,Terra,MODIS,92,6.1NRT,308.76,53.07,D,4
COD,-8.96459,26.18436,345.05,1.25,1.11,2023-10-03,822,Terra,MODIS,92,6.1NRT,311.21,50.64,D,4
COD,-8.9501,26.15237,352.9,1.24,1.11,2023-10-03,822,Terra,MODIS,96,6.1NRT,309.36,73.7,D,4
COD,-8.20166,29.9187,342.78,2.29,1.46,2023-10-03,822,Terra,MODIS,92,6.1NRT,299.91,124.86,D,9
COD,-8.19964,29.91223,343.28,2.29,1.46,2023-10-03,822,Terra,MODIS,92,6.1NRT,299.92,130.14,D,8
COD,-7.98018,30.23556,326.62,2.41,1.5,2023-10-03,822,Terra,MODIS,81,6.1NRT,301.03,58.43,D,15
COD,-7.92561,30.31137,339.55,2.44,1.51,2023-10-03,822,Terra,MODIS,90,6.1NRT,298.41,122.58,D,16
COD,-7.92323,30.29292,372.55,2.43,1.5,2023-10-03,822,Terra,MODIS,100,6.1NRT,302.85,424.19,D,17
COD,-7.86858,27.96453,335.26,1.59,1.24,2023-10-03,822,Terra,MODIS,87,6.1NRT,294.33,62.65,D,2
COD,-5.7876,28.94362,330.6,1.76,1.3,2023-10-03,822,Terra,MODIS,84,6.1NRT,300.15,53.55,D,2
COD,-12.30812,28.65689,324.46,2.1,1.41,2023-10-03,824,Terra,MODIS,78,6.1NRT,289.99,50.63,D,4
COD,-12.30432,28.64393,325.07,2.09,1.41,2023-10-03,824,Terra,MODIS,78,6.1NRT,291.38,52.76,D,4
COD,-11.06008,24.72509,363.02,1.11,1.05,2023-10-03,824,Terra,MODIS,100,6.1NRT,300.24,102.16,D,3
COD,-10.72785,27.67514,339.47,1.67,1.27,2023-10-03,824,Terra,MODIS,89,6.1NRT,300.53,68.01,D,6
COD,-8.26385,30.08739,352.99,3.73,1.81,2023-10-03,1121,Aqua,MODIS,96,6.1NRT,303.0,377.43,D,10
COD,-8.25971,30.12064,327.41,3.71,1.8,2023-10-03,1121,Aqua,MODIS,71,6.1NRT,302.97,92.22,D,6
COD,-8.25627,30.08184,343.31,3.73,1.81,2023-10-03,1121,Aqua,MODIS,91,6.1NRT,303.74,247.01,D,10
